Flight_number,Flight_origin,Aircraft_number,Airline_name,Airline_code,Current_distance,Current_flight_speed,Timetabled_arrival_time
FN3043,Paris,AC148,Airline C,CA,321,639,19:04
FN6690,Singapore,AC444,Airline E,BA,330,640,01:21
FN1968,Singapore,AC130,Airline E,BA,6958,692,21:36
FN7963,Singapore,AC461,Airline E,AA,7611,880,23:37
FN4994,Sydney,AC450,Airline A,BA,7768,407,18:12
FN1830,Paris,AC219,Airline B,AA,5304,554,21:16
FN6029,Singapore,AC201,Airline D,AA,4801,772,19:28
FN4516,Paris,AC477,Airline E,AA,2214,532,06:42
FN3276,Dubai,AC480,Airline D,BA,954,877,03:59
FN8357,Tokyo,AC259,Airline D,DA,7524,800,20:12
FN3184,Paris,AC306,Airline D,CA,3338,430,19:10
FN2797,Paris,AC154,Airline B,DA,9172,435,12:41
FN7287,London,AC195,Airline B,DA,3334,715,09:01
FN8974,London,AC238,Airline B,DA,698,565,05:25
FN8557,Singapore,AC329,Airline E,BA,9498,616,06:49
FN1142,Paris,AC353,Airline D,AA,3922,571,19:07
FN7360,Dubai,AC167,Airline D,AA,4747,402,22:02
FN5410,Singapore,AC182,Airline D,CA,3170,664,17:04
FN2075,Sydney,AC357,Airline E,DA,3283,633,23:41
FN7629,London,AC373,Airline A,CA,9701,887,01:24
FN3384,Singapore,AC399,Airline C,CA,1047,598,14:55
FN9626,Paris,AC359,Airline A,AA,9948,632,11:17
FN2698,New York,AC474,Airline D,DA,5408,590,03:48
FN6931,Sydney,AC170,Airline C,CA,7846,823,21:43
FN9982,Dubai,AC427,Airline B,BA,7771,429,09:44
FN4798,Sydney,AC133,Airline D,EA,2736,762,07:31
FN9816,Tokyo,AC397,Airline C,CA,3173,576,06:06
FN1403,New York,AC146,Airline B,AA,2369,796,23:11
FN4604,Paris,AC197,Airline B,BA,779,432,16:52
FN8031,Tokyo,AC315,Airline D,DA,8858,816,09:36
FN2267,Sydney,AC428,Airline B,DA,6859,461,00:15
FN6738,Sydney,AC207,Airline C,EA,4521,488,10:33
FN2328,New York,AC277,Airline E,EA,3940,762,13:57
FN9899,Dubai,AC384,Airline B,BA,3156,402,00:28
FN6327,Dubai,AC270,Airline E,DA,1298,433,21:38
FN8295,Tokyo,AC496,Airline E,BA,4744,736,11:16
FN1422,Sydney,AC315,Airline C,BA,9272,404,00:52
FN6953,New York,AC280,Airline E,DA,9138,667,09:19
FN5930,Paris,AC326,Airline A,EA,3603,602,06:51
FN4759,Paris,AC230,Airline A,DA,5447,751,05:33
FN9255,Singapore,AC371,Airline D,CA,5912,517,09:30
FN5841,Singapore,AC202,Airline E,BA,1436,752,01:33
